model,area,area_name,selected_method,correction_class,n_months,mae_original_clim,mae_corrected_clim,relative_improvement_clim_percent,corr_original_shape,corr_corrected_shape,amp_obs,amp_original,amp_corrected,amp_ratio_original,amp_ratio_corrected,amp_error_original,amp_error_corrected,std_obs,std_original,std_corrected,std_ratio_original,std_ratio_corrected
EC-EARTH3-Veg,nino3,Niño 3,xgb,Successful correction,12,0.9767351625219959,0.1073144236755373,89.01294559740798,0.8446004343177891,0.9921063513357975,2.6185025000000017,2.2713559311228266,2.562626838684082,0.8674255346797741,0.9786612152113967,0.13257446532022588,0.021338784788603293,0.9668606023094066,0.7457930669266045,0.9477161889560665,0.7713553175558415,0.980199406918006
EC-EARTH3-Veg,nino34,Niño 3.4,xgb,Successful correction,12,0.8008204353164441,0.07020897371012384,91.23286936572981,0.7676812246937511,0.990744792165982,1.5769822999999974,1.1596746579306405,1.6775751113891602,0.7353758237683723,1.0637881676853083,0.2646241762316277,0.06378816768530826,0.5522065793066019,0.3413164061508486,0.5309125802255341,0.6180955079880338,0.9614383459396548
EC-EARTH3-Veg,nino4,Niño 4,linear,Mean corrected but seasonal cycle degraded,12,0.7770108583309137,0.19818383051957986,74.49407194317776,0.7657227068721728,0.7657227068721806,0.8691683999999995,0.7254597153046056,0.22786737519099276,0.8346595611444296,0.26216711881264076,0.16534043885557037,0.7378328811873592,0.3075414675907781,0.23795281978754307,0.07474113768194067,0.7737259682462356,0.2430278370830726
EC-EARTH3-Veg,norte,SNA_N,linear,Successful correction,12,0.4119897555574911,0.12859679226180573,68.78641021357613,0.996886137269325,0.996886137269325,4.5162473,5.230283683126757,4.571029029848919,1.1581039158610196,1.012129922524154,0.15810391586101957,0.012129922524154013,1.7028856930614535,1.9740040197960018,1.7251893446306799,1.1592111131353338,1.013097562367283
EC-EARTH3-Veg,norteleste,SNA_NE,xgb,Successful correction,12,0.45217061924841523,0.057756290000406864,87.22688128290872,0.9944441528256488,0.9993403853004031,4.413300799999998,4.670824027499723,4.593064880371095,1.0583516146236225,1.0407323426427442,0.05835161462362248,0.04073234264274417,1.6374146717663176,1.765799552495621,1.6724241506301183,1.0784070662997123,1.0213809485571759
EC-EARTH3-Veg,centro,SNA_C,linear,Successful correction,12,0.6060707865362321,0.13252420406244347,78.13387363218159,0.9886647016272057,0.9886647016272054,3.307254000000004,3.6622780352731787,3.19695472266498,1.1073470726086276,0.9666492874949962,0.10734707260862764,0.033350712505003766,1.214888034504629,1.4019379553470437,1.2238099139558332,1.1539647403957554,1.007343787409053
EC-EARTH3-Veg,centroleste,SNA_CE,linear,Successful correction,12,0.4480479391524493,0.13308495387351904,70.29671554225438,0.9937628193828438,0.9937628193828437,3.9460900999999993,4.148526323524706,3.743187999238092,1.0513004565011597,0.9485814830325574,0.051300456501159664,0.051418516967442596,1.4520016630656973,1.5983725978447476,1.4422010757497465,1.1008063134514658,0.9932502919485242
EC-EARTH3-Veg,cbm,BMC,xgb,Successful correction,12,2.3144016201418767,0.10456361228535978,95.48204549394715,0.9770199738187941,0.9995923376479097,8.3468898,7.8499866062084855,8.046427059173583,0.9404684612235429,0.9640030301075238,0.059531538776457116,0.03599696989247625,3.067978233643266,2.9884267080476143,3.0057721927549332,0.9740703748405727,0.9797240931483199
EC-EARTH3-Veg,tna,TNA,linear,Successful correction,12,0.4008159435232663,0.1307050443093424,67.39025819172403,0.9868414490372848,0.9868414490372848,3.2781283000000023,3.4563507814827936,3.105719726724921,1.0543671464850204,0.9474063985613127,0.05436714648502039,0.0525936014386873,1.196401222303523,1.326420709262251,1.1918613656814512,1.1086754882349514,0.9962054062320909
EC-EARTH3-Veg,tsa,TSA,xgb,Successful correction,12,0.753675760945392,0.02354108744303307,96.87649667630232,0.9970018402547034,0.9996723102646184,2.304991300000001,2.938097577639173,2.3169141769409194,1.2746675345972767,1.005172634248519,0.27466753459727666,0.0051726342485189925,0.8480532385494743,1.0986033129484185,0.8499619169756942,1.2954414451945135,1.0022506587316198
EC-EARTH3-Veg,nat,NAT,linear,Successful correction,12,0.30297765719788483,0.13317188770206587,56.04564081268645,0.9904353797190381,0.9904353797190383,3.3465244999999975,3.589497297597177,3.0581227272226386,1.072604517790675,0.9138205105692909,0.0726045177906749,0.08617948943070908,1.1942554120631568,1.37657951021093,1.1727962823159317,1.1526675921298912,0.9820313732469063
EC-EARTH3-Veg,sat,SAT,linear,Successful correction,12,0.9025526085621953,0.14330500236459542,84.12225492396655,0.9840470444974255,0.9840470444974255,2.9691837999999997,4.979088487658711,2.821321178763867,1.6769216131580373,0.9502009201194844,0.6769216131580373,0.04979907988051557,1.0788616319911848,1.8342944206554985,1.0393737146690538,1.7002128597993245,0.9633985340184443
EC-EARTH3-Veg,tasi,TASI,linear,Successful correction,12,1.1850846691113726,0.10658078667714604,91.00648338003859,0.9990002705717094,0.9990002705717091,6.0679206699999995,8.51536096245258,5.954394940938657,1.403340851925241,0.9812908349935066,0.40334085192524105,0.018709165006493444,2.251212768754596,3.172501608851127,2.2183824752887684,1.409241122333453,0.9854166190235364
EC-EARTH3-Veg,wtio,WTIO,xgb,Successful correction,12,0.6454874870800239,0.09440754484558145,85.37422541331506,0.8174301947914105,0.9957269240736683,2.256849199999998,1.8999539889220358,2.3548934936523445,0.8418612944639977,1.0434429972779513,0.1581387055360023,0.04344299727795131,0.7366360798185996,0.5661786749426961,0.7352357983263151,0.7686002497761453,0.9980990864680029
EC-EARTH3-Veg,setio,SETIO,linear,Successful correction,12,0.3867028379915605,0.19836823442431673,48.702669094803504,0.9338726806086542,0.9338726806086534,1.5330629999999985,2.644348215163376,1.3255089675961464,1.7248790266045027,0.8646148055208088,0.7248790266045027,0.13538519447919117,0.46605038571048674,0.9004070713862583,0.45133906373058036,1.9319951211146438,0.9684340525596193
EC-EARTH3-Veg,swio,SWIO,xgb,Successful correction,12,0.721451896521032,0.09742017413737021,86.49665007367123,0.9285117390476069,0.9977483251213035,2.454813699999999,2.0691749537297497,2.5865238189697273,0.8429050863329264,1.0536538145317211,0.15709491366707362,0.05365381453172113,0.7794212790174563,0.6435663484965845,0.8006420134878446,0.8256976885566539,1.0272262703645187
EC-EARTH3-Veg,dmi,DMI,xgb,Successful correction,12,0.9198999181788934,0.04858666065648828,94.71826666180444,0.20496146858273648,0.9800506174735178,1.5159111065,2.3536286034757334,1.5541996508836746,1.5526165046114684,1.0252577768046551,0.5526165046114684,0.02525777680465513,0.43850370972291697,0.7537668542576358,0.45028087848702514,1.7189520579744428,1.0268576262936293
CMCC-ESM2,nino12,Niño 1+2,xgb,Successful correction,12,1.2841469638624987,0.11035899174601245,91.40604659344666,0.9197368496778923,0.9980642252155201,5.4309547000000045,5.535353538565683,5.580818176269531,1.0192229256792877,1.0275943152811653,0.01922292567928774,0.027594315281165294,2.0656487893244067,1.9827547133368557,2.0531885217971,0.9598701984500171,0.9939678673394514
CMCC-ESM2,nino3,Niño 3,xgb,Successful correction,12,0.43837958941128746,0.1065859770701086,75.6863732608432,0.9449565841423286,0.9914952607346245,2.6185025000000017,3.2386042324967512,2.5288089752197287,1.236815405941659,0.9657462519969818,0.23681540594165895,0.03425374800301817,0.9668606023094066,1.1448336093130667,0.9548476911583397,1.1840730779375646,0.9875753432062767
CMCC-ESM2,nino34,Niño 3.4,xgb,Successful correction,12,0.5808965834737873,0.08177321564229345,85.92293052348732,0.9237053776837344,0.9786938863172373,1.5769822999999974,2.1541475504671617,1.5340982437133768,1.3659934867164745,0.9728062538897103,0.36599348671647447,0.027193746110289685,0.5522065793066019,0.7784014168661032,0.5396781834412611,1.409619961144851,0.9773121213422111
CMCC-ESM2,nino4,Niño 4,linear,Mean corrected but seasonal cycle degraded,12,0.8234765876301102,0.2683045113524951,67.4180765570214,0.7472345568376251,-0.7472345568376227,0.8691683999999995,1.2096252555561584,0.045084642050074564,1.391704134154163,0.0518710091739122,0.39170413415416294,0.9481289908260878,0.3075414675907781,0.39325000767459534,0.014657048330267512,1.2786893772577785,0.04765877084832841
CMCC-ESM2,norte,SNA_N,xgb,Successful correction,12,0.672388115472852,0.18271015006713842,72.82668359796205,0.99496219816013,0.999813285341921,4.5162473,2.9609687930457618,4.53788146972656,0.6556259204507605,1.0047902978489598,0.3443740795492395,0.00479029784895979,1.7028856930614535,1.1310432119691962,1.699374733019719,0.664192092621204,0.9979382291741365
CMCC-ESM2,norteleste,SNA_NE,xgb,Successful correction,12,1.2242549356039512,0.1639796188730879,86.60576207583813,0.9854168918973808,0.9991167770391689,4.413300799999998,2.485686566963796,4.531978416442872,0.5632261836681962,1.0268908968187425,0.4367738163318038,0.02689089681874246,1.6374146717663176,0.9587305696114029,1.6654313337021862,0.585514827821347,1.017110303467384
CMCC-ESM2,centro,SNA_C,qm,Successful correction,12,1.0887075239624977,0.18884118511691708,82.65455313199232,0.9906341556491386,0.9927838624857471,3.307254000000004,2.9206842001276137,3.3084214767559956,0.88311457182533,1.0003530048662703,0.11688542817466996,0.00035300486627032335,1.214888034504629,1.0721340488524786,1.1858168879300446,0.8824961794027725,0.976070925263135
CMCC-ESM2,centroleste,SNA_CE,xgb,Successful correction,12,1.272521902968397,0.2599132642791761,79.57494769458351,0.9853813267265779,0.9994829045892183,3.9460900999999993,3.033286938360405,3.8186256408691435,0.7686816219326582,0.9676985431399917,0.2313183780673418,0.03230145686000829,1.4520016630656973,1.119844619631504,1.4186746701092074,0.7712419676346027,0.9770475518009224
CMCC-ESM2,cbm,BMC,xgb,Successful correction,12,0.6125397857374516,0.17616457381947828,71.24030505097895,0.9870068286679509,0.9995793153290344,8.3468898,7.5549773726258955,8.062306880950928,0.9051248493332086,0.9659055138059841,0.09487515066679142,0.034094486194015894,3.067978233643266,2.8537363662106596,3.0306061092674956,0.9301683874144728,0.9878186474838869
CMCC-ESM2,tna,TNA,xgb,Successful correction,12,0.8331027220228542,0.2384462874643963,71.37852498123813,0.991680958400598,0.9997068552840997,3.2781283000000023,2.459626574070935,3.152767562866213,0.7503143101723423,0.9617584408963527,0.2496856898276577,0.03824155910364735,1.196401222303523,0.9443662423025062,1.1674004688055022,0.7893390818209342,0.9757600101392546
CMCC-ESM2,tsa,TSA,xgb,Successful correction,12,0.6517731716770454,0.07287361243387913,88.8191758113683,0.9983724518046669,0.9995417696801098,2.304991300000001,2.850054037167677,2.3134248733520515,1.2364706266646974,1.003658830882377,0.23647062666469743,0.003658830882377062,0.8480532385494743,1.049780047646622,0.849963493346859,1.237870454267924,1.0022525175431816
CMCC-ESM2,nat,NAT,xgb,Successful correction,12,0.8833677333979146,0.22347120727640815,74.70235793910925,0.9830327024186576,0.9995729391104656,3.3465244999999975,2.6447097473956127,3.2155303955078125,0.7902854879429733,0.9608566724994289,0.20971451205702674,0.039143327500571146,1.1942554120631568,1.0063150967643906,1.1789344106609612,0.8426297143807063,0.9871710848052784
