model,area,method,rmse,mae,r2,bias,corr,n,selection_reason,complexity_rank
EC-EARTH3-Veg,tasi,linear,0.4102768679408259,0.3333397191182859,0.9648453386544042,-0.11488328748340416,0.9838387953288906,120,lowest_rmse,
EC-EARTH3-Veg,tna,linear,0.4182594872998832,0.29764159319023703,0.8788740362786134,-0.07317421027826422,0.9395535948891582,120,lowest_rmse,
EC-EARTH3-Veg,tsa,xgb,0.23095717993589254,0.18616817908020009,0.9237242994984554,-0.03463368832092284,0.9621875234438382,120,lowest_rmse,
EC-EARTH3-Veg,wtio,xgb,0.41539873607701505,0.34217867814025893,0.7025528633276636,-0.1652055669647217,0.8688397427067726,120,lowest_rmse,
INM-CM5-0,cbm,qm,0.6458794399573761,0.49089277913453244,0.9532532627282666,-0.16840024171375148,0.9780429513125756,120,lowest_rmse,
INM-CM5-0,centro,qm,0.4485899332071752,0.3412287713533081,0.8673431929538549,-0.1317162543260497,0.9374852505701906,120,rmse_tie_then_lowest_mae,
INM-CM5-0,centroleste,linear,0.5393178940825109,0.4184277416834786,0.8653995878597578,-0.11007381019039521,0.934289198345466,120,practical_tie_prefer_simpler_method,0.0
INM-CM5-0,dmi,xgb,0.4311691745133652,0.34336697292409707,0.4309578270181783,0.08757194754662298,0.6887639684590671,120,lowest_rmse,
INM-CM5-0,nat,qm,0.4896563898131175,0.370270967184266,0.8398795403681238,-0.053368374909511296,0.9179436440400967,120,rmse_tie_then_lowest_mae,
INM-CM5-0,nino12,xgb,0.9644534172333947,0.7936256414764403,0.7946613600620807,0.1211329961151122,0.8933246160035451,120,lowest_rmse,
INM-CM5-0,nino3,xgb,0.8118219570888822,0.6168253975118002,0.49519579380797774,0.13529463051554372,0.7183437394705453,120,rmse_tie_then_lowest_mae,
INM-CM5-0,nino34,xgb,0.7734510368790525,0.6163812943735759,0.20426181729618953,0.15759326276143387,0.4878049459621776,120,rmse_tie_then_lowest_mae,
INM-CM5-0,nino4,xgb,0.65124338624226,0.5217804138315837,0.1411549964917559,0.038246313481648704,0.3811505872837397,120,lowest_rmse,
INM-CM5-0,norte,linear,0.30576249978595976,0.24205536280663897,0.9656671719484375,-0.09584396722924972,0.9846480013183988,120,practical_tie_prefer_simpler_method,0.0
INM-CM5-0,norteleste,linear,0.40892681978137907,0.32653795890852316,0.9355626235847405,-0.02620670716789055,0.9673841209217259,120,practical_tie_prefer_simpler_method,0.0
INM-CM5-0,sat,xgb,0.3812603017005198,0.2990771617746991,0.8767974068658655,-0.062279685425821865,0.9383936338355408,120,lowest_rmse,
INM-CM5-0,setio,xgb,0.4101182977756906,0.3279293953633626,0.4638628267860385,-0.19283531200154613,0.7672245054190613,120,lowest_rmse,
INM-CM5-0,swio,linear,0.36004716904429585,0.2847979511676947,0.8004684560730193,0.004670281487269386,0.8947339655836739,120,lowest_rmse,
INM-CM5-0,tasi,xgb,0.5212509221268552,0.41194494763744155,0.943255662714025,-0.1939483171409034,0.9757801968188194,120,lowest_rmse,
INM-CM5-0,tna,qm,0.4056371084289536,0.30016516159317047,0.8860744850365521,-0.10666171035518873,0.9455207384257144,120,rmse_tie_then_lowest_mae,
INM-CM5-0,tsa,linear,0.19530516263070957,0.15504441212285155,0.9454555313201686,0.05875561114994487,0.9750198015372974,120,practical_tie_prefer_simpler_method,0.0
