model,area,method,rmse,mae,r2,bias,corr,n
MIROC6,sat,linear,0.4191961049905106,0.33925862521745276,0.8510600677962658,-0.08381655008350689,0.9257648608847834,120
MIROC6,sat,qm,0.41371975542934286,0.3349361336822979,0.8549261311648612,-0.01862427222822675,0.9278521814239473,120
MIROC6,sat,xgb,0.4030690293580861,0.3182274278930665,0.8622994948458559,-0.1354382197937011,0.9373684274950269,120
MIROC6,tasi,linear,0.5856302885383794,0.48377558372112817,0.9283731394761983,-0.11551122442268708,0.9654069488997343,120
MIROC6,tasi,qm,0.6133171890768981,0.5157216419019574,0.9214404243538484,-0.008305316940085712,0.9600332315998903,120
MIROC6,tasi,xgb,0.45064930741471587,0.3692308012935857,0.9575862891189295,-0.22112229634877675,0.9837680220452942,120
MIROC6,wtio,linear,0.34397089638473843,0.2783396728910895,0.7960504049314157,-0.1415494240670701,0.9126413392088338,120
MIROC6,wtio,qm,0.3542542586069891,0.28298007758521293,0.7836735564054242,-0.06853677648886679,0.9074779414228819,120
MIROC6,wtio,xgb,0.39645064973578675,0.3113762883219401,0.7290696120099901,-0.21907587933756512,0.9016879146790072,120
MIROC6,setio,linear,0.3748127310159709,0.28304647363574664,0.5521977249843193,-0.14396331271894552,0.789199466780691,120
MIROC6,setio,qm,0.3717250084323621,0.273278576512738,0.5595453615962829,-0.06321576295064896,0.7805310714858812,120
MIROC6,setio,xgb,0.4195079883177561,0.34744679229939773,0.4390319868042879,-0.22011605591837557,0.7711769995841329,120
MIROC6,swio,linear,0.365758585063667,0.29189474320042424,0.7940879229990581,-0.1488972389154465,0.9127616439211182,120
MIROC6,swio,qm,0.36179968871413687,0.2908161456585305,0.7985213001351501,-0.10631481465097727,0.9138135161976659,120
MIROC6,swio,xgb,0.3987558876725853,0.3183272253072103,0.7552588597924181,-0.22667208946736653,0.9153925172957328,120
MIROC6,dmi,linear,0.3975307697574748,0.2963326724727865,0.5162838977784651,-0.0061317483407463975,0.7197315124093846,120
MIROC6,dmi,qm,0.44310676929741444,0.34501014700782306,0.3990119800450216,0.0003683075023076428,0.7313452717376862,120
MIROC6,dmi,xgb,0.4144354158050279,0.3233900527540802,0.4742699906963789,-0.05430231697940271,0.7028580603355099,120
EC-EARTH3-Veg,nino12,linear,1.1720808003227763,0.9258879303160613,0.6967343146322282,0.37638666126938497,0.8535679591481578,120
EC-EARTH3-Veg,nino12,qm,1.4964484109369762,1.211632441774186,0.5056532679239651,0.6511674986571189,0.8349131984061591,120
EC-EARTH3-Veg,nino12,xgb,0.9838385157875765,0.8215878891988118,0.7863239681945686,0.13904390576782216,0.8899671693441408,120
EC-EARTH3-Veg,nino3,linear,0.9877068417280686,0.7653292601287819,0.25276448966583553,0.3397555121761742,0.584795394987298,120
EC-EARTH3-Veg,nino3,qm,1.2873502388660178,1.0735153182714365,-0.26938924404007847,0.6078299293494855,0.5882149819731555,120
EC-EARTH3-Veg,nino3,xgb,0.734391877428413,0.608156294570923,0.586898180506016,0.018994762885538828,0.7662735307138488,120
EC-EARTH3-Veg,nino34,linear,0.8708674635616069,0.688330789748589,-0.00880836826471576,0.20093631794527367,0.21435303755707452,120
EC-EARTH3-Veg,nino34,qm,1.3899935828860535,1.1963162716748836,-1.5699823237985289,0.7839272848573696,0.20766385188125508,120
EC-EARTH3-Veg,nino34,xgb,0.853999843326356,0.6574013611724856,0.029891906724424877,0.06736473696390784,0.383951485300122,120
EC-EARTH3-Veg,nino4,linear,0.7317626911173091,0.572222585294564,-0.08434796370555264,0.15686596257468874,0.06408088412498751,120
EC-EARTH3-Veg,nino4,qm,1.0011007601638373,0.7888729731455923,-1.0294750851449561,0.5387237021149841,0.09120628954207917,120
EC-EARTH3-Veg,nino4,xgb,0.8509980329379081,0.6788374647186279,-0.46651076140136527,0.22930873210144037,0.10402055007827905,120
EC-EARTH3-Veg,norte,linear,0.31223890353833433,0.25933565825504273,0.96419735072259,0.0882505991069778,0.983928506378484,120
EC-EARTH3-Veg,norte,qm,0.34473570325591957,0.2836751465361289,0.9563570934276485,0.1486255174204078,0.9837420791407864,120
EC-EARTH3-Veg,norte,xgb,0.3386156031569374,0.2654634450347899,0.9578929253572648,-0.16829588729553227,0.9841381466181648,120
EC-EARTH3-Veg,norteleste,linear,0.4494235884422798,0.36227232507154955,0.9221679649871036,0.1622364708609463,0.9672673455776113,120
EC-EARTH3-Veg,norteleste,qm,0.486545113637936,0.4003187685423709,0.9087794071882085,0.2274336010975419,0.9682739438686401,120
EC-EARTH3-Veg,norteleste,xgb,0.43079121717019275,0.33068530995585116,0.9284877667891093,-0.12371046654968249,0.9675146387289155,120
EC-EARTH3-Veg,centro,linear,0.456994168609826,0.3349998759546454,0.8623260382666993,-0.11473466123435908,0.9335398848567948,120
EC-EARTH3-Veg,centro,qm,0.48173110722964846,0.3737010425047686,0.8470181615354295,0.031149094001175413,0.9257164878200157,120
EC-EARTH3-Veg,centro,xgb,0.4959963266692052,0.3659616647766114,0.8378236904563288,-0.2542542860677084,0.941928213521464,120
EC-EARTH3-Veg,centroleste,linear,0.5010883536033482,0.3661866379514097,0.8838055599403827,-0.06037845058558666,0.9410072594225446,120
EC-EARTH3-Veg,centroleste,qm,0.743439384680338,0.5350900977916377,0.7442310273736039,0.21653518563240295,0.9060857006310434,120
EC-EARTH3-Veg,centroleste,xgb,0.5462145270507555,0.4136460527516684,0.8619351191567977,-0.23869226233622234,0.9439426255172617,120
EC-EARTH3-Veg,cbm,linear,0.8372742490575991,0.6924685041376067,0.9214431875508212,-0.012804239826078574,0.9607434789457677,120
EC-EARTH3-Veg,cbm,qm,0.9043145883994175,0.7521863122220366,0.9083594983012973,0.20946645699209945,0.9556648186152038,120
EC-EARTH3-Veg,cbm,xgb,0.7024949294303752,0.5469661198069254,0.9446987724068704,-0.3153154555867513,0.9779418918156288,120
EC-EARTH3-Veg,tna,linear,0.4182594872998832,0.29764159319023703,0.8788740362786134,-0.07317421027826422,0.9395535948891582,120
EC-EARTH3-Veg,tna,qm,0.4501444000745417,0.3455341653507639,0.8597026889197683,0.06400318778664955,0.9327417497549154,120
EC-EARTH3-Veg,tna,xgb,0.44828886697965425,0.3250758503885905,0.8608569396905218,-0.22618351395060216,0.9484189437580417,120
EC-EARTH3-Veg,tsa,linear,0.25596297858140754,0.20560496958921864,0.9063133781652811,0.07645085798976894,0.9579172577258692,120
EC-EARTH3-Veg,tsa,qm,0.31153923757470975,0.2447487791456306,0.8612130044756319,0.12795874490998768,0.9520160463444151,120
EC-EARTH3-Veg,tsa,xgb,0.23095717993589254,0.18616817908020009,0.9237242994984554,-0.03463368832092284,0.9621875234438382,120
EC-EARTH3-Veg,nat,linear,0.4727310192941715,0.3402377830283271,0.8507576164723046,-0.0829037267859253,0.9249293800187632,120
EC-EARTH3-Veg,nat,qm,0.503967781999641,0.3849706599507946,0.8303829434063061,0.07269540396445766,0.9147854110966575,120
EC-EARTH3-Veg,nat,xgb,0.49167925710373933,0.36424710878804517,0.8385538291159508,-0.21191769724629728,0.9333332416956844,120
EC-EARTH3-Veg,sat,linear,0.4158973590585903,0.31270131246972177,0.8533949266224612,-0.06466701684374959,0.9257845104697642,120
EC-EARTH3-Veg,sat,qm,0.42366554073696294,0.32628159011770136,0.8478671652414896,0.034778971185097964,0.9227530938334306,120
EC-EARTH3-Veg,sat,xgb,0.4337234238970554,0.3282542002227784,0.8405581115848851,-0.14859385499165845,0.9269853690745468,120
EC-EARTH3-Veg,tasi,linear,0.4102768679408259,0.3333397191182859,0.9648453386544042,-0.11488328748340416,0.9838387953288906,120
EC-EARTH3-Veg,tasi,qm,0.4687085581452589,0.38261394439729995,0.9541188153893766,-0.028733002703984798,0.9781400131259009,120
EC-EARTH3-Veg,tasi,xgb,0.5389890844387369,0.42885362399867083,0.9393279323336148,-0.19464072430686785,0.9732697475496439,120
EC-EARTH3-Veg,wtio,linear,0.5379103183580176,0.42651063190232913,0.5012312889831358,-0.008756105639088603,0.7102692642592854,120
EC-EARTH3-Veg,wtio,qm,0.589037732625292,0.47101398911863707,0.401911182387498,0.16541144094456725,0.7041618033244066,120
EC-EARTH3-Veg,wtio,xgb,0.41539873607701505,0.34217867814025893,0.7025528633276636,-0.1652055669647217,0.8688397427067726,120
EC-EARTH3-Veg,setio,linear,0.425770511283054,0.35274689062896214,0.42215842440593077,-0.2122282535712723,0.752461593186261,120
EC-EARTH3-Veg,setio,qm,0.45321793362521007,0.37411645429965085,0.34525558788299204,-0.09884183595357689,0.7532635933789265,120
EC-EARTH3-Veg,setio,xgb,0.46739162807420837,0.3889281946675618,0.3036629777382056,-0.2908321826782226,0.7646556173740297,120
EC-EARTH3-Veg,swio,linear,0.4665468584623063,0.3516818804435966,0.6649703059044872,0.02326357221434696,0.8163175864365196,120
EC-EARTH3-Veg,swio,qm,0.5207791857600546,0.3962011836789968,0.582554293648484,0.14348783187118982,0.8186182433054471,120
EC-EARTH3-Veg,swio,xgb,0.4415608060157756,0.3595116489685059,0.6998946091388231,-0.21193988757324217,0.8848394073720302,120
EC-EARTH3-Veg,dmi,linear,0.5653679722071464,0.45594982549743696,0.02161125075164816,-0.0003067147366620199,0.17986726571367942,120
EC-EARTH3-Veg,dmi,qm,0.7682207052572512,0.6398146577948147,-0.8064296865842697,0.11411621252906626,0.17824490161597376,120
EC-EARTH3-Veg,dmi,xgb,0.4503718582392152,0.354948054438116,0.3791430651629748,0.02635403314522465,0.6431878233414621,120
CMCC-ESM2,nino12,linear,1.472018363948107,1.114293577587533,0.5216622848348792,0.4345118503171305,0.750685294344467,120
CMCC-ESM2,nino12,qm,1.60919553281703,1.2351014593373564,0.4283557949179715,0.5300088537337956,0.7445325789612227,120
CMCC-ESM2,nino12,xgb,1.0786199646935817,0.8414031771484375,0.7431703985090636,0.15863387031656892,0.8667839442580103,120
CMCC-ESM2,nino3,linear,1.1732635456313867,0.8911631660083424,-0.0543687659035792,0.23755744981911522,0.3015701955525475,120
CMCC-ESM2,nino3,qm,1.4937724700175994,1.1938185730843542,-0.7091110443114466,0.38958996053954137,0.31340314386100576,120
CMCC-ESM2,nino3,xgb,0.8618217612322577,0.6938272704284668,0.4310995332353147,0.0026541415730795197,0.6811446356349469,120
