time,nino12,nino3,nino34,nino4,norte,norteleste,centro,centroleste,cbm,tna,tsa,nat,sat,tasi,wtio,setio,swio,dmi
1861-11-01,0.0,21.965637,24.32657,25.723103,27.943283,24.96445,24.205944,26.580124,26.573633,13.719471,26.57624,26.230139,26.828539,25.349075,1.4794636,27.74118,28.004026,27.585527,-0.262846
1861-12-01,0.0,22.5461,24.45873,25.689264,27.852198,23.310701,22.680641,26.095085,25.739643,15.194232,25.840893,26.608515,26.10608,25.927376,0.17870331,27.689386,28.256151,27.915327,-0.56676483
1862-01-01,0.0,23.31945,24.715027,25.5897,27.642395,22.23954,21.547384,24.798553,24.42195,17.577333,24.576279,26.697775,24.974895,26.30227,-1.3273754,27.478266,28.254953,27.929773,-0.7766876
1862-02-01,0.0,25.450872,25.53423,25.606455,27.412611,21.797384,21.088194,24.217287,23.808146,18.990534,24.0877,26.969995,24.45109,26.790693,-2.3396034,27.608597,28.07704,28.069553,-0.46844292
1862-03-01,0.0,25.695873,26.102522,25.84261,27.407372,21.78953,21.100414,24.417599,24.095152,18.442966,24.393723,27.365456,24.68386,27.597925,-2.9140644,28.497787,27.935848,28.811623,0.56193924
1862-04-01,0.0,24.078749,26.160624,26.25693,27.616318,22.058937,21.221231,24.799658,24.278866,17.505238,24.671911,27.392906,24.90142,27.712818,-2.8113976,29.574776,28.270218,29.756128,1.3045578
1862-05-01,0.0,22.48023,25.695517,26.106426,27.82714,22.614952,21.664297,25.015467,24.32201,15.876126,24.983818,26.875803,25.02134,26.729507,-1.708168,29.049196,28.869207,28.897371,0.17998886
1862-06-01,0.0,24.591518,24.937355,25.22642,27.57405,23.793327,22.656746,25.599756,25.130121,13.301382,25.547289,26.208054,25.805042,25.656322,0.14871979,27.808472,28.340477,27.43245,-0.5320053
1862-07-01,0.0,23.323345,24.793058,25.442509,27.810324,24.274986,22.872389,25.938662,25.246847,11.042216,25.744387,25.448498,25.760012,24.91616,0.8438511,26.531319,28.02664,26.1319,-1.4953213
1862-08-01,0.0,21.926495,24.37968,25.531248,27.865438,25.084919,23.864965,26.578072,26.288874,11.130164,26.326784,25.06731,26.54006,23.943039,2.597021,26.33609,27.801813,25.996758,-1.465723
